"320";"320";;"Beltz";"2000";"978-3-407-36368-0";"22.90";"132"
"321";"321";"sites/default/files/pictures/978-3-89358-849-7.jpg";"Persen";"2004";"978-3-89358-849-7";"19.50";"132"
"323";"323";"sites/default/files/pictures/978-3-922833-96-9.jpg";" Institut für Friedenspädagogik Tübingen";"1996";"978-3-922833-96-3";"14.00";"272"
"586";"586";"sites/zuendbuch.de/files/pictures/";"Assoziation A";"2005";"978-3-935936-43-9";"20,00";"460"
"325";"325";"sites/default/files/pictures/978-3-589-05036-9.jpg";"Scriptor";"1995";"978-3-589-05036-9";"12.95";"120"
"326";"326";"sites/default/files/pictures/978-3-589-21059-6.jpg";"Scriptor";"1995";"978-3-589-21059-6";"19,50";"168"
"584";"584";"sites/zuendbuch.de/files/pictures/";"Graswurzelrevolution";"2009";"978-3-939045-11-3";"7,80";"87"
"329";"329";;"Suhrkamp";"1989";"978-3-518-11361-5";"11.00";"288"
"330";"330";;" Drachen Verlag";"1992";"978-3-927369-00-9";"12.80";"257"
"331";"331";;" Edition AV";"2003";"978-3-936049-21-3";"17.50";"260"
"521";"521";;"Unrast";;"978-3-89771-455-7";"14,00";"163"
"333";"333";;;;;"1.60";"40"
"334";"334";;"AG SPAK";"2002";"978-3-930830-28-2";"8.00";"120"
"335";"335";"sites/default/files/pictures/978-3-936049-05-3.jpg";"Edition AV";"2002";"978-3-936049-05-3";"9.00";"120"
"336";"336";"sites/default/files/pictures/978-3-930830-22-0.jpg";"AG SPAK";"2001";"978-3-930830-22-0";"7,50";"86"
"338";"338";;"Unrast";"1993";"978-3-928300-14-8";"10.00";"181"
"339";"339";;"Edition Flugschriften";"1988";"978-.3-925866-05-1";"10.00";"232"
"340";"340";;"Packpapier";;;"1.20";"32"
